Cód.,Município,População (Pessoas)
1100015,Alta Floresta D'Oeste (RO),22728.0
1100023,Ariquemes (RO),109523.0
1100031,Cabixi (RO),5188.0
1100049,Cacoal (RO),85893.0
1100056,Cerejeiras (RO),16204.0
1100064,Colorado do Oeste (RO),15544.0
1100072,Corumbiara (RO),7220.0
1100080,Costa Marques (RO),18798.0
1100098,Espigão D'Oeste (RO),32695.0
1100106,Guajará-Mirim (RO),46556.0
1100114,Jaru (RO),51620.0
1100122,Ji-Paraná (RO),130009.0
1100130,Machadinho D'Oeste (RO),40867.0
1100148,Nova Brasilândia D'Oeste (RO),20489.0
1100155,Ouro Preto do Oeste (RO),35737.0
1100189,Pimenta Bueno (RO),36881.0
1100205,Porto Velho (RO),539354.0
1100254,Presidente Médici (RO),18571.0
1100262,Rio Crespo (RO),3804.0
1100288,Rolim de Moura (RO),55407.0
1100296,Santa Luzia D'Oeste (RO),6216.0
1100304,Vilhena (RO),102211.0
1100320,São Miguel do Guaporé (RO),23077.0
1100338,Nova Mamoré (RO),31392.0
1100346,Alvorada D'Oeste (RO),14106.0
1100379,Alto Alegre dos Parecis (RO),13255.0
1100403,Alto Paraíso (RO),21847.0
1100452,Buritis (RO),40356.0
1100502,Novo Horizonte do Oeste (RO),8329.0
1100601,Cacaulândia (RO),6269.0
1100700,Campo Novo de Rondônia (RO),14266.0
1100809,Candeias do Jamari (RO),27388.0
1100908,Castanheiras (RO),2987.0
1100924,Chupinguaia (RO),11472.0
1100940,Cujubim (RO),26183.0
1101005,Governador Jorge Teixeira (RO),7445.0
1101104,Itapuã do Oeste (RO),10641.0
1101203,Ministro Andreazza (RO),9559.0
1101302,Mirante da Serra (RO),10818.0
1101401,Monte Negro (RO),16007.0
1101435,Nova União (RO),6895.0
1101450,Parecis (RO),6198.0
1101468,Pimenteiras do Oeste (RO),2148.0
1101476,Primavera de Rondônia (RO),2776.0
1101484,São Felipe D'Oeste (RO),5066.0
1101492,São Francisco do Guaporé (RO),20681.0
1101500,Seringueiras (RO),11851.0
1101559,Teixeirópolis (RO),4233.0
1101609,Theobroma (RO),10395.0
1101708,Urupá (RO),11272.0
1101757,Vale do Anari (RO),11377.0
1101807,Vale do Paraíso (RO),6656.0
1200013,Acrelândia (AC),15490.0
1200054,Assis Brasil (AC),7534.0
1200104,Brasiléia (AC),26702.0
1200138,Bujari (AC),10420.0
1200179,Capixaba (AC),12008.0
1200203,Cruzeiro do Sul (AC),89072.0
1200252,Epitaciolândia (AC),18696.0
1200302,Feijó (AC),34884.0
1200328,Jordão (AC),8473.0
1200336,Mâncio Lima (AC),19311.0
1200344,Manoel Urbano (AC),9581.0
1200351,Marechal Thaumaturgo (AC),19299.0
1200385,Plácido de Castro (AC),19955.0
1200393,Porto Walter (AC),12241.0
1200401,Rio Branco (AC),413418.0
1200427,Rodrigues Alves (AC),19351.0
1200435,Santa Rosa do Purus (AC),6717.0
1200450,Senador Guiomard (AC),23236.0
1200500,Sena Madureira (AC),46511.0
1200609,Tarauacá (AC),43151.0
1200708,Xapuri (AC),19596.0
1200807,Porto Acre (AC),18824.0
1300029,Alvarães (AM),16220.0
1300060,Amaturá (AM),11736.0
1300086,Anamã (AM),13956.0
1300102,Anori (AM),21477.0
1300144,Apuí (AM),22359.0
1300201,Atalaia do Norte (AM),20398.0
1300300,Autazes (AM),40290.0
1300409,Barcelos (AM),27638.0
1300508,Barreirinha (AM),32483.0
1300607,Benjamin Constant (AM),43935.0
1300631,Beruri (AM),20093.0
1300680,Boa Vista do Ramos (AM),19626.0
1300706,Boca do Acre (AM),34635.0
1300805,Borba (AM),41748.0
1300839,Caapiranga (AM),13283.0
