Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
1100015,Alta Floresta D'Oeste (RO),570272.0,35109.0,203394.0,20716.0,150192.0,160860.0
1100023,Ariquemes (RO),2818049.0,295656.0,199723.0,404752.0,1207405.0,710513.0
1100031,Cabixi (RO),167190.0,7237.0,81177.0,5438.0,28667.0,44671.0
1100049,Cacoal (RO),2519353.0,274451.0,236215.0,275537.0,1157344.0,575806.0
1100056,Cerejeiras (RO),600670.0,89923.0,94758.0,23582.0,276755.0,115652.0
1100064,Colorado do Oeste (RO),366931.0,24075.0,88923.0,24322.0,118529.0,111082.0
1100072,Corumbiara (RO),268381.0,10200.0,155648.0,10847.0,34749.0,56937.0
1100080,Costa Marques (RO),261978.0,9276.0,80684.0,6205.0,48318.0,117495.0
1100098,Espigão D'Oeste (RO),666331.0,58285.0,137802.0,54521.0,213513.0,202211.0
1100106,Guajará-Mirim (RO),984586.0,139461.0,59384.0,41650.0,443005.0,301086.0
1100114,Jaru (RO),1665068.0,189006.0,223881.0,195776.0,712461.0,343944.0
1100122,Ji-Paraná (RO),4057626.0,566032.0,155961.0,589531.0,1950007.0,796096.0
1100130,Machadinho D'Oeste (RO),700317.0,35830.0,226106.0,35782.0,150365.0,252233.0
1100148,Nova Brasilândia D'Oeste (RO),403370.0,26898.0,123270.0,22561.0,100806.0,129836.0
1100155,Ouro Preto do Oeste (RO),885193.0,67733.0,163407.0,88619.0,330931.0,234503.0
1100189,Pimenta Bueno (RO),1361243.0,232766.0,125229.0,225649.0,515002.0,262597.0
1100205,Porto Velho (RO),19448762.0,2257212.0,797348.0,4978615.0,7774206.0,3641382.0
1100254,Presidente Médici (RO),464219.0,41374.0,121355.0,41019.0,134878.0,125593.0
1100262,Rio Crespo (RO),133580.0,4545.0,76394.0,5251.0,13634.0,33756.0
1100288,Rolim de Moura (RO),1397881.0,138701.0,118330.0,186532.0,584320.0,369999.0
1100296,Santa Luzia D'Oeste (RO),156789.0,6030.0,61497.0,11982.0,28826.0,48454.0
1100304,Vilhena (RO),3153000.0,443954.0,179260.0,392170.0,1439935.0,697681.0
1100320,São Miguel do Guaporé (RO),730695.0,47042.0,257601.0,93118.0,169666.0,163268.0
1100338,Nova Mamoré (RO),601910.0,23738.0,250818.0,21299.0,110480.0,195574.0
1100346,Alvorada D'Oeste (RO),289533.0,11758.0,101029.0,13166.0,64863.0,98718.0
1100379,Alto Alegre dos Parecis (RO),324544.0,13223.0,156818.0,13423.0,48775.0,92306.0
1100403,Alto Paraíso (RO),396377.0,21480.0,121183.0,19894.0,99864.0,133957.0
1100452,Buritis (RO),781624.0,55508.0,219630.0,34034.0,225556.0,246897.0
1100502,Novo Horizonte do Oeste (RO),185100.0,8589.0,70114.0,10962.0,37543.0,57892.0
1100601,Cacaulândia (RO),169164.0,4776.0,97062.0,2797.0,20477.0,44052.0
1100700,Campo Novo de Rondônia (RO),331933.0,8208.0,155952.0,40072.0,30130.0,97571.0
1100809,Candeias do Jamari (RO),563100.0,26208.0,102419.0,124977.0,124050.0,185446.0
1100908,Castanheiras (RO),80415.0,2232.0,40902.0,1859.0,8095.0,27327.0
1100924,Chupinguaia (RO),374880.0,19856.0,141100.0,63351.0,60115.0,90459.0
1100940,Cujubim (RO),431849.0,19012.0,128413.0,48866.0,74629.0,160929.0
1101005,Governador Jorge Teixeira (RO),200590.0,5620.0,117189.0,4107.0,19027.0,54647.0
1101104,Itapuã do Oeste (RO),192783.0,9900.0,51082.0,22890.0,38132.0,70778.0
1101203,Ministro Andreazza (RO),224922.0,15663.0,81828.0,11661.0,51707.0,64063.0
1101302,Mirante da Serra (RO),231692.0,11912.0,72925.0,14656.0,62788.0,69411.0
1101401,Monte Negro (RO),340951.0,15014.0,114121.0,36279.0,67992.0,107545.0
1101435,Nova União (RO),128839.0,4414.0,61086.0,2706.0,15015.0,45617.0
1101450,Parecis (RO),120834.0,3713.0,56806.0,3580.0,12542.0,44193.0
1101468,Pimenteiras do Oeste (RO),148849.0,4415.0,96971.0,5141.0,15447.0,26876.0
1101476,Primavera de Rondônia (RO),66483.0,2358.0,26718.0,1823.0,9349.0,26235.0
1101484,São Felipe D'Oeste (RO),102297.0,3824.0,40910.0,2495.0,16172.0,38896.0
1101492,São Francisco do Guaporé (RO),397791.0,20847.0,149466.0,14687.0,84250.0,128540.0
1101500,Seringueiras (RO),250607.0,16235.0,86169.0,10274.0,54280.0,83649.0
1101559,Teixeirópolis (RO),97364.0,3669.0,44769.0,3772.0,12809.0,32345.0
1101609,Theobroma (RO),213026.0,6456.0,105974.0,5238.0,21086.0,74271.0
1101708,Urupá (RO),227801.0,9473.0,82592.0,8587.0,48031.0,79117.0
1101757,Vale do Anari (RO),180730.0,6131.0,67101.0,5554.0,23945.0,78000.0
1101807,Vale do Paraíso (RO),161268.0,5599.0,82918.0,3350.0,20028.0,49373.0
1200013,Acrelândia (AC),302445.0,21607.0,76453.0,16073.0,81972.0,106340.0
1200054,Assis Brasil (AC),96920.0,2532.0,16231.0,3294.0,16344.0,58519.0
1200104,Brasiléia (AC),480142.0,49224.0,68647.0,38459.0,141100.0,182712.0
1200138,Bujari (AC),183818.0,5632.0,68523.0,5881.0,29973.0,73808.0
1200179,Capixaba (AC),145318.0,4353.0,28553.0,3414.0,22783.0,86215.0
1200203,Cruzeiro do Sul (AC),1516381.0,116184.0,54955.0,133895.0,612974.0,598373.0
1200252,Epitaciolândia (AC),432928.0,59705.0,30367.0,19202.0,199336.0,124317.0
1200302,Feijó (AC),392931.0,17144.0,37069.0,14675.0,93507.0,230537.0
1200328,Jordão (AC),84908.0,1754.0,4731.0,2185.0,12769.0,63469.0
1200336,Mâncio Lima (AC),230863.0,8413.0,27215.0,11328.0,51506.0,132403.0
1200344,Manoel Urbano (AC),137420.0,7583.0,19709.0,15449.0,28883.0,65796.0
1200351,Marechal Thaumaturgo (AC),214547.0,4466.0,26490.0,5947.0,30645.0,146999.0
1200385,Plácido de Castro (AC),266954.0,15391.0,36269.0,9576.0,64313.0,141406.0
1200393,Porto Walter (AC),130247.0,3000.0,13084.0,3668.0,20210.0,90284.0
1200401,Rio Branco (AC),9579592.0,1261084.0,113279.0,813358.0,4657214.0,2734657.0
1200427,Rodrigues Alves (AC),202691.0,3344.0,28326.0,5655.0,27819.0,137548.0
